EXIDE BATTERY 7AH 12V,General,,,NOS,,,,,0,CGST+SGST 28%(28.00%),0,Exclusive,0,0
Extended Warranty,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
FEES FOR 2160 QUIKREASY CREDITS,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Fees for 2520 Quikreasy Credits,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
FERRULES 6MM/0-9,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Foxin 1 S Topper Cabinet,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
FOXIN 600VA UPS,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
GIGABYTE GA-J1800M-D3P ATOM,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
GIGABYTE H110M-S2 MOTHERBOARD,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
HDD 4TB TOSHIBA SURVEILLANCE,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
HDD WD 2TB DESKTOP (Purple) Surveillance,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
HP 15-DA0327TU I3-7100 4GB 1TB W10 + OFF 15.6'',General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
HP INK CART CZ107AA 678 BLACK,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
HP INK CARTRIAGE 678 COLOUR,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
HP INK CATRIAGE,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
IBALL 2.0 SPEAKER SOUNDWAVE 2(152),General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
I BALL 4 PORT USB HUB,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
IBALL LASER BARCODE READER LS3929(B19),General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
INSTALLATION  AND DIAGNOSIS CHARGES,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
INSTALLATON CHARGES,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
INTEX P4 IT - 242 CABINET WITH SMPS,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
INTEX P4 IT-513 CABINET WITH POWER SUPPLY,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
INTEX SMPS,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
INTEX UPS GAMMA 1000-1,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
JDRR,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
K7 TOTAL SECURITY 1 USER,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
KB LENOVO E49,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
KB LENOVO IDEAPAD 100,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
KEYBOARD SWAPPING CHARGES,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LABOUR CHARGES,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
